ST	penA	mtrR	porB	ponA	gyrA	parC	23S
265	291	1	12	1	7	6	100
266	20	18	4	1	100	1	100
267	288	1	100	1	1	3	100
268	228	38	13	1	7	20	100
269	294	10	13	100	100	2	100
270	294	29	8	100	100	7	2
271	228	47	14	1	7	17	100
272	494	18	100	1	100	7	100
273	23	1	100	1	7	2	100
274	166	9	3	100	100	100	2
275	23	19	8	100	1	18	2
276	166	19	11	1	5	2	100
277	288	19	12	1	2	3	100
278	23	1	11	1	5	2	100
279	23	1	8	1	100	2	100
280	14	19	9	1	5	2	100
281	494	25	8	1	5	4	100
282	23	1	8	1	5	2	100
283	285	1	8	1	1	2	100
284	285	1	12	1	1	10	100
285	228	10	8	100	1	2	100
286	228	10	3	100	1	2	100
287	23	19	1	1	100	1	100
288	294	10	14	100	100	7	100
289	294	10	13	100	100	7	100
290	166	5	13	100	100	100	100
291	288	19	1	1	1	3	100
292	294	5	100	100	100	7	100
293	20	9	3	100	100	2	100
294	17	5	100	100	100	1	8
295	18	18	14	100	100	1	8
296	228	25	3	1	100	2	100
297	166	5	100	100	100	2	100
298	228	25	5	100	100	2	100
299	20	50	3	100	100	1	100
300	166	15	4	1	100	1	100
301	166	9	3	100	100	100	100
302	166	25	100	100	100	100	100
303	266	1	100	1	1	3	100
304	23	1	12	1	7	6	100
305	23	38	8	1	7	15	100
306	18	18	100	100	100	100	100
307	22	3	1	100	100	2	100
308	23	10	14	100	100	2	100
309	228	38	100	1	7	15	100
310	21	1	12	4	1	3	100
311	21	35	8	1	100	7	100
312	23	19	8	1	1	9	100
313	21	16	8	1	5	1	100
314	166	1	100	100	100	2	100
315	21	1	8	100	100	1	100
316	23	1	14	100	100	1	100
317	288	36	8	1	7	15	100
318	166	19	8	1	2	2	100
319	14	1	11	1	1	3	100
320	517	25	8	1	2	5	100
321	14	19	11	1	2	5	100
322	285	1	13	1	1	2	100
323	494	1	8	1	2	10	100
324	228	25	14	1	2	10	100
325	285	1	11	1	1	2	100
