ST	penA	mtrR	porB	ponA	gyrA	parC	23S
2669	294	230	100	1	1	49	100
2670	23	54	13	100	7	18	100
2671	20	36	5	1	100	1	100
2672	266	19	11	1	5	2	100
2673	20	10	100	100	100	7	100
2674	228	10	3	100	5	7	100
2675	294	10	3	100	3	2	100
2676	18	33	16	1	2	5	100
2677	14	25	8	1	2	3	100
2678	14	1	100	1	2	5	100
2679	23	33	11	1	2	5	100
2680	288	1	100	1	1	5	37
2681	14	232	11	1	1	3	100
2682	14	267	11	1	1	3	100
2683	1834	25	8	1	1	4	100
2684	14	18	16	1	1	3	100
2685	14	33	8	1	2	3	100
2686	14	1	8	1	1	3	2
2687	14	1	100	1	1	3	100
2688	288	54	13	1	7	3	100
2689	531	1	11	1	1	23	100
2690	14	1	8	1	1	3	6
2691	14	25	11	1	2	5	100
2692	525	1	17	1	1	3	100
2693	1834	25	100	1	2	5	100
2694	14	1	8	1	1	4	100
2695	288	1	11	1	23	5	100
2696	288	1	100	1	23	3	100
2697	14	232	26	1	1	3	100
2698	14	1	11	1	1	47	100
2699	23	304	14	100	1	18	100
2700	23	1	9	1	1	3	100
2701	166	1	100	1	3	37	100
2702	529	1	8	1	3	37	100
2703	166	1	8	1	3	37	100
2704	1835	123	14	1	100	100	100
2705	266	174	100	100	7	20	100
2706	166	40	1	100	100	100	100
2707	166	40	44	100	100	100	100
2708	1595	222	14	1	7	3	100
2709	288	122	54	1	7	3	100
2710	23	14	100	100	100	115	100
2711	166	18	19	100	1	59	100
2712	166	1	14	1	100	2	100
2713	291	89	4	100	7	2	100
2714	2246	19	100	1	25	3	100
2715	166	39	44	100	7	4	100
2716	507	168	44	1	7	1	100
2717	285	10	13	1	1	22	100
2718	228	19	14	100	7	3	100
2719	228	47	3	100	1	17	100
2720	509	10	14	100	1	68	100
2721	285	1	1	100	1	22	100
2722	1321	29	44	100	100	7	7
2723	294	54	14	100	1	22	100
2724	23	1	100	100	100	2	100
2725	23	50	44	100	100	7	2
2726	23	10	13	100	1	26	100
2727	288	122	44	1	7	3	100
2728	23	50	1	100	100	7	2
2729	228	163	12	100	7	20	100
2730	288	122	8	1	7	15	100
2731	166	39	44	100	100	100	100
2732	288	54	14	1	7	3	100
2733	515	131	44	100	2	51	100
2734	166	9	44	100	1	4	100
2735	284	172	8	1	1	9	100
2736	1516	16	12	1	7	23	100
2737	287	1	52	1	7	3	100
2738	517	1	11	1	7	22	100
2739	1901	25	13	1	2	10	1
2740	287	36	37	1	2	24	100
2741	645	16	8	1	1	10	100
2742	14	19	17	1	2	5	100
2743	291	19	12	1	7	3	1
2744	23	19	12	1	7	8	100
2745	287	36	8	1	2	1	100
2746	21	22	12	1	34	93	100
2747	20	16	8	1	7	3	100
2748	291	19	4	1	2	3	100
2749	285	19	8	1	7	3	100
2750	285	19	8	1	7	4	100
2751	21	1	12	1	1	23	100
2752	284	19	8	1	1	10	100
2753	291	1	12	1	7	3	100
2754	875	1	4	1	7	3	100
2755	1901	47	13	1	7	21	100
2756	290	19	7	1	7	3	100
2757	23	36	8	1	7	39	2
2758	290	36	12	1	7	8	100
2759	291	16	11	1	7	41	100
2760	20	16	10	1	7	3	100
2761	284	19	8	1	1	100	100
2762	284	47	13	1	7	21	100
2763	875	47	13	1	7	21	100
2764	291	1	8	1	1	1	100
2765	284	1	11	1	1	22	100
2766	291	1	8	1	7	8	100
2767	1901	25	13	1	2	3	100
2768	875	19	13	1	21	3	100
2769	875	16	8	1	7	3	100
2770	291	19	11	1	2	3	100
2771	290	16	8	1	7	3	100
2772	284	19	4	1	1	31	100
2773	284	16	13	1	7	3	100
2774	285	19	12	1	7	9	100
2775	21	19	8	1	7	3	100
2776	645	22	8	1	1	10	100
2777	287	192	8	1	1	3	2
2778	287	1	8	1	1	3	100
2779	284	36	8	1	1	1	100
2780	291	1	13	1	7	62	100
2781	288	22	13	1	1	100	100
2782	23	274	100	100	1	4	100
2783	287	16	4	1	7	15	100
2784	529	1	4	1	7	6	100
2785	284	1	14	1	1	3	100
2786	166	1	11	1	1	22	2
2787	291	1	10	1	7	3	100
2788	285	22	8	1	7	4	100
2789	228	47	13	1	21	21	100
2790	284	1	21	1	7	3	100
2791	291	19	13	1	7	3	100
2792	287	1	8	1	1	22	100
2793	875	1	8	1	21	3	100
2794	284	19	8	1	1	8	100
2795	287	59	11	1	7	3	100
2796	1912	1	12	1	1	3	2
2797	290	1	52	1	7	2	100
2798	21	19	8	1	1	9	100
2799	20	1	11	1	7	2	100
2800	284	19	8	1	1	9	1
2801	287	59	100	1	21	3	100
2802	290	25	12	1	7	3	100
2803	228	47	12	1	7	21	100
2804	1614	47	13	1	7	21	100
2805	284	19	11	1	7	9	100
2806	529	16	12	1	7	3	100
2807	284	19	100	1	1	22	100
2808	290	16	12	1	7	6	100
2809	166	1	11	1	7	22	100
2810	228	47	11	1	7	21	100
2811	1903	19	8	1	7	9	100
2812	288	1	8	1	1	121	100
2813	288	1	8	1	1	121	1
2814	20	19	8	1	7	3	100
2815	23	19	23	1	7	3	1
2816	515	161	14	1	7	3	100
2817	285	25	44	1	100	2	100
2818	668	25	44	100	100	2	100
2819	509	10	100	100	100	17	100
2820	294	10	44	100	100	1	100
2821	21	9	1	100	100	1	100
2822	509	10	29	100	100	17	12
2823	539	123	100	100	100	2	100
2824	266	42	100	100	10	2	100
2825	1525	40	11	100	7	4	100
2826	228	161	14	100	100	7	100
2827	17	10	44	100	100	7	100
2828	23	59	14	100	100	7	100
2829	291	38	8	1	7	26	100
2830	166	1	44	100	100	100	100
2831	23	14	14	100	100	100	100
2832	283	1	44	1	1	3	100
2833	21	9	44	100	100	1	100
2834	23	150	100	100	100	7	100
2835	20	127	1	100	100	7	100
2836	228	18	100	100	100	100	100
2837	291	206	3	1	7	6	100
2838	23	10	1	100	100	7	100
2839	228	14	100	100	100	100	100
2840	17	10	1	100	100	7	100
2841	23	25	44	100	100	2	100
2842	23	105	3	100	100	2	100
2843	291	122	8	100	7	6	100
2844	20	25	44	100	100	7	100
2845	509	10	100	100	100	2	100
2846	266	1	44	1	1	3	100
2847	294	5	44	100	100	7	100
2848	228	38	8	1	7	26	100
2849	228	14	14	100	100	100	100
2850	502	1	44	1	1	3	100
2851	228	38	44	1	7	15	100
2852	288	1	44	1	1	23	100
2853	645	16	44	1	1	10	100
2854	17	162	44	100	100	1	100
2855	813	9	44	100	100	100	100
2856	20	25	44	100	100	1	100
2857	17	5	44	100	100	1	100
2858	166	9	44	1	100	100	100
2859	284	19	44	1	1	9	100
2860	294	11	54	100	100	2	100
2861	166	170	44	1	100	1	100
2862	166	9	44	100	100	100	2
2863	494	25	4	1	5	2	100
2864	1534	25	44	100	100	100	2
2865	166	27	44	100	100	100	100
2866	288	1	11	1	1	3	12
2867	288	1	44	1	1	3	100
2868	288	1	44	1	1	3	2
2869	1323	25	44	1	100	2	2
2870	535	82	14	100	22	2	100
2871	23	174	3	100	7	4	100
2872	288	38	10	1	1	3	2
2873	515	54	100	100	100	1	100
2874	166	169	3	1	100	7	100
2875	291	122	3	100	7	6	100
2876	285	1	20	1	1	3	100
2877	294	130	100	100	100	2	100
2878	509	35	44	1	7	15	100
2879	509	35	1	1	7	15	100
2880	14	38	100	1	7	26	100
2881	166	122	100	1	7	6	100
2882	284	122	100	100	7	6	100
2883	288	1	14	1	7	3	100
2884	166	39	11	100	1	3	100
2885	166	39	3	100	100	100	100
2886	509	54	13	100	7	20	100
2887	294	18	3	100	1	18	100
2888	23	245	8	100	2	26	100
2889	166	1	3	1	100	2	100
2890	22	19	8	1	1	9	100
2891	288	58	3	1	1	3	100
2892	228	25	100	1	7	43	100
2893	23	245	3	100	2	26	100
2894	1444	25	44	100	100	100	2
2998	23	19	1	1	1	9	100
3018	288	122	100	1	7	3	100
3074	294	130	8	100	100	2	100
3171	1147	1	1	1	100	2	100
3178	294	57	100	100	1	22	100
3179	294	10	14	1	1	111	100
3180	294	81	19	100	7	22	100
3181	294	76	100	1	7	49	100
3182	20	10	100	100	1	22	100
3183	23	10	13	100	1	22	100
3184	23	10	14	100	7	22	100
3185	23	10	13	100	7	22	100
3186	23	343	100	100	1	22	100
3207	1822	33	100	1	1	5	100
3208	1822	33	100	1	45	5	100
3209	1822	33	100	1	2	5	100
3210	1821	33	49	1	2	5	100
3211	1822	33	11	1	2	5	100
3212	1832	232	11	1	1	3	100
3214	1822	231	11	1	2	5	100
3274	23	40	11	100	7	4	6
3280	23	19	100	1	100	3	100
3308	23	18	13	100	7	20	100
3309	23	19	44	1	1	9	100
3310	166	122	100	100	7	6	100
3311	228	25	12	1	7	43	100
3312	228	38	14	1	7	15	12
3313	266	69	11	1	1	3	100
3314	284	19	14	1	1	9	100
3315	287	307	44	1	1	3	100
3316	294	9	44	100	100	100	100
3317	294	15	3	100	100	100	100
3318	294	18	13	1	7	15	100
3319	507	10	100	100	100	7	100
3320	645	142	100	1	1	10	100
3321	664	19	3	1	7	3	100
3322	1780	40	21	100	7	4	100
3323	1874	89	44	100	7	4	100
3327	2362	130	3	100	100	2	100
3328	1925	9	1	100	100	7	100
3329	2361	15	100	100	100	7	100
3330	17	374	100	100	100	1	100
3331	645	373	10	1	1	10	100
3488	504	25	100	1	100	2	100
3490	17	224	100	100	100	2	100
